Rank,Title,Speaker/Organizer,Type,Session,Weighted Score,Total Votes,Voters
1,Interior Computing,Kei Kreutler,talk,The Art of Memory,64.627,69,29
2,Field Building Protocols: How to Kickstart a New Technoscientific Field,David Lang,talk,General,56.905,62,24
3,Myth-Making in New Nature,Liz Maher,talk,Worldbuilding in New Nature,51.217,60,21
4,Some Candidate Laws of New Nature,Humboldt,talk,General,50.736,58,24
5,Protocolize Your Book: Run your manuscript through a book production factory,Jenna Dixon,workshop,General,49.826,53,23
6,Protocol Hackathon: Securing Stigmergic Systems,Patrick Nast,workshop,General,49.52,56,24
7,Archival Time as a New Natural Resource,Sachin Benny,talk,General,48.613,60,28
8,Robots as Protocol Citizens: Souping Up an Open Planetary Network of Robots with YakRobot Protocols,Anuraj R,talk,General,42.694,43,20
9,Robots as Protocol Citizens: Assembling One Into the YakRobot Protocol Stack,Anuraj R,workshop,General,42.105,47,17
10,AI Kitcraft: A Hands-On AI Tooling Workshop,Rafael Fernández,workshop,General,42.033,37,19
11,Visualizing memory states in transformers,Ayse Demir,talk,The Art of Memory,41.889,44,17
12,Trusted Agents:  The Digital-Physical Border In the 16th & 21st Centuries,Gary Wolf,talk,General,41.128,54,25
13,The Inevitable Capture of Protocols - Lessons from Crypto,Nicholas Fett,talk,General,40.527,71,24
14,Attention as Natural Law,Amber Case,talk,General,40.176,100,21
15,Governance Axioms,Eric Alston,talk,General,39.473,45,22
16,The Political Economy of Protocol Funding / alt. Origins and Implications of Protocol Funding,trent van epps,talk,General,38.983,47,19
17,Don't Cross the Lines: Mazes as Minimal Protocols,Daniel Schmidt,talk,General,37.839,42,18
18,Chores as Complex Coordination,Daniel Kronovet,talk,General,37.714,47,22
19,Book as Protocol Stack: Building a protocolized book-production factory,Jenna Dixon,talk,General,36.762,41,18
20,"A Common Protocol for Composable, Modular Organizations",Simone Cicero,talk,General,35.422,42,21
21,Open Social Protocols: A Commons-Based Protocol Layer for Human Coordination,Jose Leal,talk,General,35.113,47,21
22,Story-Shaping in New Nature,Randy Lubin,talk,Worldbuilding in New Nature,34.763,46,19
23,Creating New Genres for New Nature,Spencer Nitkey,interactive,Worldbuilding in New Nature,34.741,40,18
24,Marking to Reality,Tim Beiko,talk,General,34.544,41,16
25,Artisanal Bots with Protocolized RAG,Venkatesh Rao,talk,General,34.189,34,20
26,"Trust Experience Glitches: AI Agents, Delegated Autonomy, and the Breakdown of Legal Assumptions",Helena Rong,talk,General,33.685,39,20
27,Psychological Safety I & II,Timber Stinson-Schroff,talk,General,33.155,39,17
28,Beyond the Artwork: Designing Protocols as Art,Primavera De Filippi,workshop,General,33.014,84,16
29,Virtues for a Protocol Society,Nathan Schneider,talk,General,32.844,46,23
30,Protocoling HCI: Hardening Interaction into Infrastructure,Botao Amber Hu,talk,General,32.122,67,18
31,Seapunk World-Protocolizations: On Reverse-Imagineering as Method,Samuel Chua,talk,Southeast Asia,31.899,31,18
32,Building Psychohistory: An Infrastructure Field Report,Aneesh Sathe,talk,Inventing Psychohistory,31.606,34,19
33,The indelible importance of illegibility,Patrick Atwater,talk,General,31.253,31,21
34,My mind is a markdown file,Neilson Koerner-Safrata,talk,The Art of Memory,30.968,34,16
35,Jubilee: meta-protocols against entrenchment,Mike Travers,talk,General,30.842,32,18
36,Solar-Based Time and the Architecture of Memory,Paragonday Systems (Norm O'Hagan & Yatú Espinosa),talk,The Art of Memory,30.695,44,17
37,Group Brains: Minds Made of People,Kaliya Young,talk,General,27.365,37,18
38,Provenance Against Fluency,Stanislav Lvovsky,talk,General,26.459,34,17
39,De-Dramatizing the Digital: How AI Descends Into New Nature,Sean Stevenson,talk,Inventing Psychohistory,26.402,45,15
40,Tools for Recollection and Understanding,Ruthvik Peddawandla,talk,The Art of Memory,24.903,34,14
41,The Role of Identity in Decentralized Dispute Resolution Protocols,William George,talk,General,24.307,26,16
42,The Physics of Relation; A Field Theory of the Dynamics of Living Systems,Surya Kramer,talk,General,23.077,38,14
43,"Oil, uni and tv: post-Soviet infrastructures shaping protocols for web",Polina Kolozaridi,talk,General,22.943,31,14
44,Life-Serving Protocols: A Framework for Evaluating Cooperative Emergence in Living Systems,Scott Clearwater,talk,General,22.561,38,13
45,After Client-Server: Protocol Design for a World of Distributed Compute,Aayush Sharma,talk,General,22.243,19,13
46,The Point of Inflection in Time,Jim Fournier,talk,General,21.991,47,12
47,Envisioning Alternative Futures for Delivery Work: Toward a Decentralized Network Built on the OpenCourier Protocol,Yuhan Liu,talk,General,21.943,22,14
48,"The Nature of Trust: Weaving Identity, Relationship, and Place",Kaliya Young,talk,General,21.529,25,15
49,Time Moves Down the Stack,Florian Lohse,talk,Inventing Psychohistory,21.469,27,11
50,Entrenching Privacy Through Speech,Jesse Katz,talk,General,21.204,24,14
51,"Hand-Washing and Bitcoin Share a Skeleton: Protocols Are Systems, Proven",Shingai Thornton,talk,General,19.853,16,11
52,Opening Session,Venkatesh Rao,talk,General,17.243,17,14
53,Divergent Protocols: A Speculative Protocol for Convergence Zones in Cultural Transmission,Nicolás Madoery,talk,General,16.449,19,11
54,Closing Session,Timber Stinson-Schroff,talk,General,15.414,16,12
55,Proliferation of Intelligence into Business and Converting it to hyper learning machines,Krishnakumar Gurumurthy,talk,General,11.243,9,7

